Version,Version Name,Total Samples,Effective Samples,Patch
51,Version: 6.0(Phase II),123768,97455,6.0
50,Version: 6.0(Phase I),101909,77793,6.0
49,Version: 5.8(Phase I),142018,120354,5.8
48,Version: 5.7(Phase I),122176,94710,5.7
47,Version: 5.6(Phase II),101501,82521,5.6
46,Version: 5.6(Phase I),135181,115539,5.6
45,Version: 5.5(Phase I),122925,100758,5.5
44,Version: 5.4(Phase II),133046,115692,5.4
43,Version: 5.4(Phase I),141804,125490,5.4
42,Version: 5.3(Phase I),145286,113505,5.3
41,Version: 5.2(Phase I),116634,90414,5.2
40,Version: 5.1(Phase II),105851,80802,5.1
39,Version: 5.1(Phase I),110567,83133,5.1
38,Version: 5.0(Phase I),110747,84540,5.0
37,Version: 4.8(Phase I),99491,77727,4.8
36,Version: 4.7(Phase II),60640,47748,4.7
35,Version: 4.7(Phase I),142578,112266,4.7
34,Version: 4.6(Phase II),92803,73653,4.6
33,Version: 4.6(Phase I),174438,140676,4.6
32,Version: 4.5(Phase II),121888,99096,4.5
31,Version: 4.5(Phase I),203614,172554,4.5
30,Version: 4.4(Phase II),189810,162231,4.4
29,Version: 4.4(Phase I),219054,197346,4.4
28,Version: 4.3(Phase II),173814,141312,4.3
27,Version: 4.3(Phase I),195884,160692,4.3
26,Version: 4.2(Phase II),135569,111213,4.2
25,Version: 4.2(Phase I),137829,113160,4.2
24,Version: 4.1(Phase II),127591,105273,4.1
23,Version: 4.1(Phase I),142847,118251,4.1
22,Version: 4.0(Phase II),106679,88530,4.0
21,Version: 4.0(Phase I),109077,98091,4.0
20,Version: 3.8(Phase II),90042,81339,3.8
19,Version: 3.8(Phase I),92818,84534,3.8
18,Version: 3.7(Phase III),69577,63367,3.7
17,Version: 3.7(Phase II),89688,81683,3.7
16,Version: 3.7(Phase I),112921,98192,3.7
15,Version: 3.6(Phase III),98724,83664,3.6
14,Version: 3.6(Phase I),156928,127584,3.6
13,Version: 3.5(Phase II),141172,117643,3.5
12,Version: 3.5(Phase I),150784,120627,3.5
11,Version: 3.4(Phase III),147263,119726,3.4
10,Version: 3.4(Phase II),111641,92265,3.4
9,Version: 3.4(Phase I),79539,69044,3.4
8,Version: 3.3(Phase II),82987,72037,3.3
7,Version: 3.3(Phase I),83972,72892,3.3
6,Version: 3.2(Phase III),56830,49851,3.2
5,Version: 3.2(Phase II),67901,59562,3.2
4,Version: 3.2(Phase I),60896,49509,3.2
3,Version: 3.1(Phase II),63368,51519,3.1
2,Version: 3.1(Phase I),43966,35745,3.1
1,Version: 3.0(Phase II),46302,37644,3.0
