,Date,Primogem Used,Total Users
0,2022-09-29,3227008.3261015886,400786
1,2022-09-30,2654193.4000146207,400786
2,2022-10-01,3728093.8411521637,400786
3,2022-10-02,1685127.247495527,400786
4,2022-10-03,1164768.6386726059,400786
5,2022-10-04,901479.7477998117,400786
6,2022-10-05,871404.2453906432,400786
7,2022-10-06,715337.3280016296,400786
8,2022-10-07,693019.9360259869,400786
9,2022-10-08,720968.9066019695,400786
10,2022-10-09,654619.248027777,400786
11,2022-10-10,558139.9910591857,400786
12,2022-10-11,594787.222984418,400786
13,2022-10-12,526344.6093954585,400786
14,2022-10-13,538833.3204684216,400786
15,2022-10-14,480551.42520872696,400786
16,2022-10-15,3536309.572538052,372850
17,2022-10-16,1722577.0343411288,372850
18,2022-10-17,1018905.6087642179,372850
19,2022-10-18,1058388.3649478029,372850
20,2022-10-19,780319.6582664346,372850
21,2022-10-20,1367175.5912665743,372850
22,2022-10-21,855016.3272050914,372850
23,2022-10-22,721664.3255320436,372850
24,2022-10-23,914383.6732482566,372850
25,2022-10-24,558040.4307516419,372850
26,2022-10-25,487653.06054313335,372850
27,2022-10-26,460250.25742772577,372850
28,2022-10-27,422840.4308999123,372850
29,2022-10-28,389985.8713361873,372850
30,2022-10-29,405091.88096665434,372850
31,2022-10-30,376428.49065230374,372850
32,2022-10-31,352176.34642822115,372850
33,2022-11-01,400539.8504266968,372850
34,2022-11-02,95662.22445792101,372850
35,2022-11-03,4911006.957272812,471989
36,2022-11-04,3413218.6437719753,471989
37,2022-11-05,2846702.1757944548,471989
38,2022-11-06,2229442.2831498883,471989
39,2022-11-07,1844867.8109858872,471989
40,2022-11-08,1802539.3234760307,471989
41,2022-11-09,1461934.5899698362,471989
42,2022-11-10,1641911.0324326311,471989
43,2022-11-11,1571551.5545265072,471989
44,2022-11-12,1603581.3320839324,471989
45,2022-11-13,1521623.1153951276,471989
46,2022-11-14,1288534.4321754612,471989
47,2022-11-15,1250537.494087,471989
48,2022-11-16,1453996.2360497664,471989
49,2022-11-17,1377655.4975168332,471989
50,2022-11-18,1003704.037508037,471989
51,2022-11-19,3499538.274903319,409082
52,2022-11-20,1272111.176847601,409082
53,2022-11-21,960057.3253335517,409082
54,2022-11-22,833836.3155102717,409082
55,2022-11-23,672827.8954189128,409082
56,2022-11-24,665071.0186697538,409082
57,2022-11-25,1066474.667925915,409082
58,2022-11-26,773301.8728400304,409082
59,2022-11-27,634152.2317677144,409082
60,2022-11-28,581131.5556351048,409082
61,2022-11-29,497669.25301562704,409082
62,2022-11-30,662260.9062247111,409082
63,2022-12-01,1318184.3369352662,409082
64,2022-12-02,743973.1173214568,409082
65,2022-12-03,631485.5694474857,409082
66,2022-12-04,767956.4681890624,409082
67,2022-12-05,663612.3574005914,409082
68,2022-12-06,315566.1145700244,409082
69,2022-12-07,94293.5420436002,409082
70,2022-12-08,3212244.8749791617,453595
71,2022-12-09,2356548.6273485892,453595
72,2022-12-10,2262302.0234915176,453595
73,2022-12-11,2117559.901675438,453595
74,2022-12-12,1704537.900063089,453595
75,2022-12-13,1757538.6093623382,453595
76,2022-12-14,1125553.0923340137,453595
77,2022-12-15,1227884.4464202202,453595
78,2022-12-16,1312136.805671556,453595
79,2022-12-17,1229241.0850531687,453595
80,2022-12-18,955355.1256127751,453595
81,2022-12-19,952599.0071268902,453595
82,2022-12-20,827449.6032519192,453595
83,2022-12-21,762942.966298791,453595
84,2022-12-22,750208.9236719275,453595
85,2022-12-23,882955.5038914102,453595
86,2022-12-24,830931.9824195025,453595
87,2022-12-25,824387.4760518355,453595
88,2022-12-26,787578.7078498971,453595
89,2022-12-27,511285.47985780536,453595
90,2022-12-28,3962443.610713594,389328
91,2022-12-29,1434191.22002176,389328
92,2022-12-30,1245517.3721232938,389328
93,2022-12-31,1389358.993321048,389328
94,2023-01-01,2583895.236981829,389328
95,2023-01-02,1229105.4123765035,389328
96,2023-01-03,1012545.6250110836,389328
97,2023-01-04,892990.2633680749,389328
98,2023-01-05,855061.2831166476,389328
99,2023-01-06,1257669.6003563271,389328
100,2023-01-07,868404.5819088672,389328
101,2023-01-08,685289.0632866045,389328
102,2023-01-09,596643.6369191506,389328
103,2023-01-10,576861.9400486618,389328
104,2023-01-11,547498.7422353838,389328
105,2023-01-12,513358.0280680358,389328
106,2023-01-13,514760.8445044109,389328
107,2023-01-14,530883.3079347324,389328
108,2023-01-15,516168.6237347828,389328
109,2023-01-16,641128.4680401001,389328
110,2023-01-17,292115.01743448124,389328
111,2023-01-18,55694.12849462678,389328
112,2023-01-19,1954710.6337142342,372662
113,2023-01-20,1306611.880442147,372662
114,2023-01-21,1529798.6477692248,372662
115,2023-01-22,1074343.037283707,372662
116,2023-01-23,1328314.1863110713,372662
117,2023-01-24,940628.462827981,372662
118,2023-01-25,1641085.3914015596,372662
119,2023-01-26,851348.2249894253,372662
120,2023-01-27,696388.4579208404,372662
121,2023-01-28,663892.7483010495,372662
122,2023-01-29,609450.7221774238,372662
123,2023-01-30,509347.7993118121,372662
124,2023-01-31,648995.0856709911,372662
125,2023-02-01,1288413.567290535,372662
126,2023-02-02,678666.7788760866,372662
127,2023-02-03,596031.763994922,372662
